RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,1000.00,1:26.44,ITA,9295145,1997,3,DALMASSO Lucia,1,100,World Cup Scuol (SUI),2024-01-13
2,800.00,1:28.74,ITA,9295154,2001,12,CORATTI Jasmin,2,80,World Cup Scuol (SUI),2024-01-13
3,600.00,1:30.17,JPN,9305427,2003,16,MIKI Tsubaki,3,60,World Cup Scuol (SUI),2024-01-13
4,500.00,1:27.32,AUT,1004920,1973,7,RIEGLER Claudia,4,50,World Cup Scuol (SUI),2024-01-13
5,450.00,1:26.24,ITA,9295132,1999,2,CAFFONT Elisa,5,45,World Cup Scuol (SUI),2024-01-13
6,400.00,1:27.11,GER,9205050,1994,6,LOCH Cheyenne,6,40,World Cup Scuol (SUI),2024-01-13
7,360.00,1:27.53,JPN,1543464,1983,8,TAKEUCHI Tomoka,7,36,World Cup Scuol (SUI),2024-01-13
8,320.00,1:28.85,GER,9205056,1996,13,HOCHREITER Melanie,8,32,World Cup Scuol (SUI),2024-01-13
9,290.00,1:25.07,GER,9205058,1996,1,HOFMEISTER Ramona Theresia,9,29,World Cup Scuol (SUI),2024-01-13
10,260.00,1:26.66,AUT,9055032,1992,4,SCHOEFFMANN Sabine,10,26,World Cup Scuol (SUI),2024-01-13
11,240.00,1:27.11,SUI,9515082,1992,5,ZOGG Julie,11,24,World Cup Scuol (SUI),2024-01-13
12,220.00,1:28.51,USA,9535569,2003,9,PFLUM Iris,12,22,World Cup Scuol (SUI),2024-01-13
13,200.00,1:28.55,KOR,9325017,1995,10,JEONG Haerim,13,20,World Cup Scuol (SUI),2024-01-13
14,180.00,1:28.65,CZE,9155072,2003,11,MADEROVA Zuzana,14,18,World Cup Scuol (SUI),2024-01-13
15,160.00,1:29.72,SUI,9515102,1993,14,JENNY Ladina,15,16,World Cup Scuol (SUI),2024-01-13
16,150.00,1:30.09,POL,9435104,2006,15,DAWIDEK Weronika,16,15,World Cup Scuol (SUI),2024-01-13
17,140.00,1:30.45,SUI,9515154,1997,33,GASSER Larissa,17,14,World Cup Scuol (SUI),2024-01-13
18,130.00,1:30.79,UKR,1699945,1990,26,DANCHA Annamari,18,13,World Cup Scuol (SUI),2024-01-13
19,120.00,1:31.31,UKR,9695036,2003,43,HAPATYN Nadiia,19,12,World Cup Scuol (SUI),2024-01-13
20,110.00,1:32.81,POL,9435070,1999,38,BUKOWSKA-CHYC Maria,20,11,World Cup Scuol (SUI),2024-01-13
21,100.00,1:32.82,SUI,9515196,2002,47,HAUSER Ricarda,21,10,World Cup Scuol (SUI),2024-01-13
22,90.00,1:33.26,CZE,9155071,2003,39,SONKOVA Klara,22,9,World Cup Scuol (SUI),2024-01-13
23,80.00,1:34.71,SUI,9515236,2007,45,VON SIEBENTHAL Xenia,23,8,World Cup Scuol (SUI),2024-01-13
24,70.00,1:35.87,SUI,9515212,2003,44,BAETSCHI Flurina Neva,24,7,World Cup Scuol (SUI),2024-01-13
25,60.00,1:36.96,POL,9435077,2000,35,KWIATKOWSKA Olimpia,25,6,World Cup Scuol (SUI),2024-01-13
26,50.00,1:37.57,USA,9535431,1999,36,KIZUKA Kaiya,26,5,World Cup Scuol (SUI),2024-01-13
27,"",1:38.57,SUI,9515213,2004,48,BAETSCHI Laila Ursina,27,4,World Cup Scuol (SUI),2024-01-13
28,"","",AUT,9055071,1998,25,ULBING Daniela,28,3,World Cup Scuol (SUI),2024-01-13
29,"","",JPN,9305265,1994,46,KOSHISAKA Ayana,"","",World Cup Scuol (SUI),2024-01-13
30,"","",UKR,1699984,1997,41,MALOVANNA Oleksandra,"","",World Cup Scuol (SUI),2024-01-13
31,"","",AUS,9045081,1997,40,BONGIORNO Millie,"","",World Cup Scuol (SUI),2024-01-13
32,"","",CAN,9105371,2000,37,BUCK Kaylie,"","",World Cup Scuol (SUI),2024-01-13
