RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
33,AUT,9050272,2001,48.00,47,PINK Matthaeus,33,Qualification Krynica (POL),2024-02-24
34,POL,9430012,1987,48.65,55,GASIENICA-DANIEL Andrzej,34,Qualification Krynica (POL),2024-02-24
35,POL,9430193,2004,49.23,59,MIKOLAJCZYK Maciej,35,Qualification Krynica (POL),2024-02-24
36,CAN,9100940,2000,49.56,53,BEHAN Jamie,36,Qualification Krynica (POL),2024-02-24
37,POL,9430169,1999,49.66,58,RUTKOWSKI Mikolaj,37,Qualification Krynica (POL),2024-02-24
38,CZE,9150168,1999,50.18,56,POCINEK Adam,38,Qualification Krynica (POL),2024-02-24
39,GER,9200145,2000,53.03,44,ANGENEND Yannik,39,Qualification Krynica (POL),2024-02-24
40,AUS,9040213,1999,"",57,EDMANSON Harvey,"",Qualification Krynica (POL),2024-02-24
41,POL,9430124,1996,"",41,NOWACZYK Michal,"",Qualification Krynica (POL),2024-02-24
42,USA,9531069,1997,"",54,UDOLF Dylan,"",Qualification Krynica (POL),2024-02-24
43,CZE,9150333,2006,"",52,MINARIK Krystof,"",Qualification Krynica (POL),2024-02-24
1,KOR,9320091,1995,1:31.26,18,LEE Sangho,1,Qualification Krynica (POL),2024-02-24
2,ITA,9290107,1991,1:31.38,25,CORATTI Edwin,2,Qualification Krynica (POL),2024-02-24
3,POL,9430120,1996,1:32.33,19,KWIATKOWSKI Oskar,3,Qualification Krynica (POL),2024-02-24
4,ITA,9290151,1992,1:32.42,28,FELICETTI Mirko,4,Qualification Krynica (POL),2024-02-24
5,SUI,9510316,1995,1:32.42,29,CAVIEZEL Dario,5,Qualification Krynica (POL),2024-02-24
6,AUT,9050217,1996,1:32.58,23,OBMANN Fabian,6,Qualification Krynica (POL),2024-02-24
7,SLO,9560053,1991,1:32.86,17,MASTNAK Tim,7,Qualification Krynica (POL),2024-02-24
8,KOR,9320014,1989,1:32.88,30,KIM Sangkyum,8,Qualification Krynica (POL),2024-02-24
9,AUT,1093190,1980,1:32.99,22,PROMMEGGER Andreas,9,Qualification Krynica (POL),2024-02-24
10,GER,9200128,1999,1:33.03,33,HUBER Elias,10,Qualification Krynica (POL),2024-02-24
11,SLO,1659088,1984,1:33.08,21,KOSIR Zan,11,Qualification Krynica (POL),2024-02-24
12,ITA,9290227,1995,1:33.12,20,BAGOZZA Daniele,12,Qualification Krynica (POL),2024-02-24
13,AUT,9050279,2001,1:33.21,37,BURGSTALLER Dominik,13,Qualification Krynica (POL),2024-02-24
14,AUT,1054984,1985,1:33.25,24,KARL Benjamin,14,Qualification Krynica (POL),2024-02-24
15,ITA,1163127,1980,1:33.36,31,FISCHNALLER Roland,15,Qualification Krynica (POL),2024-02-24
16,BUL,1094969,1990,1:33.38,40,YANKOV Radoslav,16,Qualification Krynica (POL),2024-02-24
17,AUT,9050238,1997,1:33.39,34,AUNER Arvid,17,Qualification Krynica (POL),2024-02-24
18,ITA,9290200,1994,1:33.39,26,BORMOLINI Maurizio,17,Qualification Krynica (POL),2024-02-24
19,AUT,9050029,1988,1:33.53,45,KISLINGER Sebastian,19,Qualification Krynica (POL),2024-02-24
20,ITA,7538766,1986,1:33.53,27,MARCH Aaron,19,Qualification Krynica (POL),2024-02-24
21,GER,9200092,1993,1:33.63,38,BAUMEISTER Stefan,21,Qualification Krynica (POL),2024-02-24
22,AUT,9050196,1995,1:33.69,46,JURITZ Aron,22,Qualification Krynica (POL),2024-02-24
23,SLO,7560012,1986,1:33.77,36,MARGUC Rok,23,Qualification Krynica (POL),2024-02-24
24,CAN,9100945,2000,1:33.83,43,GAUDET Arnaud,24,Qualification Krynica (POL),2024-02-24
25,AUT,9050297,2003,1:33.92,50,KARNER Christoph,25,Qualification Krynica (POL),2024-02-24
26,USA,9531244,2000,1:33.92,49,WINTERS Cody,25,Qualification Krynica (POL),2024-02-24
27,SUI,9510417,2000,1:34.16,35,CASANOVA Gian,27,Qualification Krynica (POL),2024-02-24
28,JPN,7300127,1986,1:34.28,39,SHIBA Masaki,28,Qualification Krynica (POL),2024-02-24
29,AUT,9050042,1989,1:34.80,32,PAYER Alexander,29,Qualification Krynica (POL),2024-02-24
30,UKR,9690121,1999,1:36.52,51,KHARUK Mykhailo,30,Qualification Krynica (POL),2024-02-24
31,GER,9200158,2001,1:36.96,48,PRANTL Ole-Mikkel,31,Qualification Krynica (POL),2024-02-24
32,CAN,9101129,2002,1:40.12,42,HELDMAN Ben,32,Qualification Krynica (POL),2024-02-24
