RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
33,SUI,9510417,2000,47.11,36,CASANOVA Gian,33,Qualification Krynica (POL),2024-02-25
34,POL,9430012,1987,48.47,54,GASIENICA-DANIEL Andrzej,34,Qualification Krynica (POL),2024-02-25
35,CAN,9100940,2000,48.91,53,BEHAN Jamie,35,Qualification Krynica (POL),2024-02-25
36,CZE,9150168,1999,49.39,55,POCINEK Adam,36,Qualification Krynica (POL),2024-02-25
37,AUT,9050272,2001,50.49,47,PINK Matthaeus,37,Qualification Krynica (POL),2024-02-25
38,POL,9430193,2004,56.96,57,MIKOLAJCZYK Maciej,38,Qualification Krynica (POL),2024-02-25
39,POL,9430169,1999,"",56,RUTKOWSKI Mikolaj,"",Qualification Krynica (POL),2024-02-25
40,CZE,9150333,2006,"",52,MINARIK Krystof,"",Qualification Krynica (POL),2024-02-25
41,ITA,9290227,1995,"",29,BAGOZZA Daniele,"",Qualification Krynica (POL),2024-02-25
1,ITA,9290200,1994,1:31.40,25,BORMOLINI Maurizio,1,Qualification Krynica (POL),2024-02-25
2,ITA,7538766,1986,1:32.20,18,MARCH Aaron,2,Qualification Krynica (POL),2024-02-25
3,AUT,9050042,1989,1:32.21,22,PAYER Alexander,3,Qualification Krynica (POL),2024-02-25
4,ITA,9290151,1992,1:32.26,23,FELICETTI Mirko,4,Qualification Krynica (POL),2024-02-25
5,AUT,9050217,1996,1:32.56,17,OBMANN Fabian,5,Qualification Krynica (POL),2024-02-25
6,ITA,1163127,1980,1:32.67,31,FISCHNALLER Roland,6,Qualification Krynica (POL),2024-02-25
7,SUI,9510316,1995,1:32.70,21,CAVIEZEL Dario,7,Qualification Krynica (POL),2024-02-25
8,POL,9430120,1996,1:32.92,24,KWIATKOWSKI Oskar,8,Qualification Krynica (POL),2024-02-25
9,GER,9200158,2001,1:32.93,48,PRANTL Ole-Mikkel,9,Qualification Krynica (POL),2024-02-25
10,AUT,9050238,1997,1:33.02,34,AUNER Arvid,10,Qualification Krynica (POL),2024-02-25
11,AUT,9050279,2001,1:33.11,33,BURGSTALLER Dominik,11,Qualification Krynica (POL),2024-02-25
12,SLO,1659088,1984,1:33.20,27,KOSIR Zan,12,Qualification Krynica (POL),2024-02-25
13,AUT,9050029,1988,1:33.22,42,KISLINGER Sebastian,13,Qualification Krynica (POL),2024-02-25
14,KOR,9320014,1989,1:33.23,19,KIM Sangkyum,14,Qualification Krynica (POL),2024-02-25
15,BUL,1094969,1990,1:33.27,38,YANKOV Radoslav,15,Qualification Krynica (POL),2024-02-25
16,KOR,9320091,1995,1:33.29,20,LEE Sangho,16,Qualification Krynica (POL),2024-02-25
17,AUT,1093190,1980,1:33.58,30,PROMMEGGER Andreas,17,Qualification Krynica (POL),2024-02-25
18,AUT,1054984,1985,1:33.61,28,KARL Benjamin,18,Qualification Krynica (POL),2024-02-25
19,POL,9430124,1996,1:33.68,44,NOWACZYK Michal,19,Qualification Krynica (POL),2024-02-25
20,ITA,9290107,1991,1:33.78,32,CORATTI Edwin,20,Qualification Krynica (POL),2024-02-25
21,GER,9200092,1993,1:33.79,40,BAUMEISTER Stefan,21,Qualification Krynica (POL),2024-02-25
22,CAN,9100945,2000,1:34.13,41,GAUDET Arnaud,22,Qualification Krynica (POL),2024-02-25
23,AUT,9050196,1995,1:34.20,45,JURITZ Aron,23,Qualification Krynica (POL),2024-02-25
24,SLO,7560012,1986,1:34.49,37,MARGUC Rok,24,Qualification Krynica (POL),2024-02-25
25,AUT,9050297,2003,1:34.87,50,KARNER Christoph,25,Qualification Krynica (POL),2024-02-25
26,JPN,7300127,1986,1:34.95,39,SHIBA Masaki,26,Qualification Krynica (POL),2024-02-25
27,UKR,9690121,1999,1:35.32,51,KHARUK Mykhailo,27,Qualification Krynica (POL),2024-02-25
28,GER,9200128,1999,1:36.48,35,HUBER Elias,28,Qualification Krynica (POL),2024-02-25
29,SLO,9560053,1991,1:36.50,26,MASTNAK Tim,29,Qualification Krynica (POL),2024-02-25
30,CAN,9101129,2002,1:37.77,43,HELDMAN Ben,30,Qualification Krynica (POL),2024-02-25
31,GER,9200145,2000,1:38.11,46,ANGENEND Yannik,31,Qualification Krynica (POL),2024-02-25
32,USA,9531244,2000,"",49,WINTERS Cody,32,Qualification Krynica (POL),2024-02-25
