RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,360.00,1:12.05,GER,9200128,1999,40,1,HUBER Elias,100,European Cup Davos/Rinerhorn  (SUI),2024-03-12
2,288.00,1:11.48,CAN,9101129,2002,38,2,HELDMAN Ben,80,European Cup Davos/Rinerhorn  (SUI),2024-03-12
3,216.00,1:12.60,GER,9200092,1993,18,3,BAUMEISTER Stefan,60,European Cup Davos/Rinerhorn  (SUI),2024-03-12
4,180.00,1:15.55,CZE,9150333,2006,29,4,MINARIK Krystof,50,European Cup Davos/Rinerhorn  (SUI),2024-03-12
5,162.00,1:13.83,GER,9200145,2000,27,5,ANGENEND Yannik,45,European Cup Davos/Rinerhorn  (SUI),2024-03-12
6,144.00,1:14.27,CAN,9100570,1996,48,6,LEFEBVRE Jules,40,European Cup Davos/Rinerhorn  (SUI),2024-03-12
7,129.60,1:14.68,CAN,9100940,2000,35,7,BEHAN Jamie,36,European Cup Davos/Rinerhorn  (SUI),2024-03-12
8,115.20,1:14.73,LAT,9550007,1983,36,8,KORDE Edijs,32,European Cup Davos/Rinerhorn  (SUI),2024-03-12
9,104.40,1:11.39,CAN,9100945,2000,22,9,GAUDET Arnaud,29,European Cup Davos/Rinerhorn  (SUI),2024-03-12
10,93.60,1:11.83,SUI,9510316,1995,24,10,CAVIEZEL Dario,26,European Cup Davos/Rinerhorn  (SUI),2024-03-12
11,86.40,1:11.98,AUT,9050238,1997,25,11,AUNER Arvid,24,European Cup Davos/Rinerhorn  (SUI),2024-03-12
12,79.20,1:12.80,KOR,9320014,1989,37,12,KIM Sangkyum,22,European Cup Davos/Rinerhorn  (SUI),2024-03-12
13,72.00,1:13.14,ITA,9290515,2007,34,13,RABANSER Tommy,20,European Cup Davos/Rinerhorn  (SUI),2024-03-12
14,64.80,1:14.54,POL,9430169,1999,30,14,RUTKOWSKI Mikolaj,18,European Cup Davos/Rinerhorn  (SUI),2024-03-12
15,57.60,1:14.68,ITA,9290463,2005,26,15,SANTUARI Mike,16,European Cup Davos/Rinerhorn  (SUI),2024-03-12
16,54.00,1:15.14,ITA,9290497,2006,39,16,HALLER Manuel,15,European Cup Davos/Rinerhorn  (SUI),2024-03-12
17,50.40,1:15.70,KOR,9320197,2002,32,17,MA Junho,14,European Cup Davos/Rinerhorn  (SUI),2024-03-12
18,46.80,1:15.76,GER,9200158,2001,19,18,PRANTL Ole-Mikkel,13,European Cup Davos/Rinerhorn  (SUI),2024-03-12
19,43.20,1:15.94,ITA,9290395,2002,20,19,LANTSCHNER Fabian,12,European Cup Davos/Rinerhorn  (SUI),2024-03-12
20,39.60,1:16.46,CAN,9100939,2000,49,20,NAZWASKI Michael,11,European Cup Davos/Rinerhorn  (SUI),2024-03-12
21,36.00,1:16.54,GER,9200191,2003,23,21,KUEHNHAUSER Max,10,European Cup Davos/Rinerhorn  (SUI),2024-03-12
22,32.40,1:16.62,USA,9530791,1994,51,22,ROSENCRANZ Ryan,9,European Cup Davos/Rinerhorn  (SUI),2024-03-12
23,28.80,1:16.77,ITA,9290437,2004,42,23,DA COL Tommaso Felice,8,European Cup Davos/Rinerhorn  (SUI),2024-03-12
24,25.20,1:18.14,CAN,9101030,2001,50,24,CARPENTIER Justin,7,European Cup Davos/Rinerhorn  (SUI),2024-03-12
25,21.60,1:18.62,GER,9200176,2002,17,25,TANIGUCHI Kaijo,6,European Cup Davos/Rinerhorn  (SUI),2024-03-12
26,18.00,1:18.74,UKR,9690174,2005,41,26,KABALIUK Mykhailo,5,European Cup Davos/Rinerhorn  (SUI),2024-03-12
27,16.20,1:20.24,UKR,9690175,2005,45,27,BILOUS Nestor,4,European Cup Davos/Rinerhorn  (SUI),2024-03-12
28,14.40,1:21.20,ITA,9290530,2007,61,28,DA COL Edoardo Leone,3,European Cup Davos/Rinerhorn  (SUI),2024-03-12
29,12.96,1:23.31,USA,9530046,1988,55,29,BOTERO Emilio,2,European Cup Davos/Rinerhorn  (SUI),2024-03-12
30,11.52,37.57,ITA,1020634,1973,54,30,RABANSER Georg,1,European Cup Davos/Rinerhorn  (SUI),2024-03-12
31,10.08,38.74,POL,9430191,2004,58,31,WILK Michal,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
32,9.36,38.88,UKR,9690132,1993,47,32,HACHAK Stanislav,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
33,8.64,39.01,ITA,9290524,2007,56,33,MUTSCHLECHNER Philipp,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
34,7.92,39.18,CZE,9150168,1999,52,34,POCINEK Adam,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
35,7.20,40.16,UKR,9690180,2006,46,35,POPADYCH Oleksandr,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
36,7.09,40.65,ITA,9290514,2007,62,36,CRAZZOLARA Kevin,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
37,7.09,40.65,SUI,9510555,2007,60,36,MOSCA Nuri,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
38,6.88,40.92,UKR,9690183,2007,44,38,BAZHAN Sviatoslav,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
39,6.77,42.37,UKR,9690121,1999,28,39,KHARUK Mykhailo,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
40,6.66,42.71,CZE,9150395,2008,64,40,MICHAL Tomas,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
41,6.55,43.29,CZE,9150213,1981,53,41,URBAN Ales,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
42,6.44,45.03,ITA,9290441,2004,43,42,DORFMANN Simon,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
43,6.34,46.11,SUI,9510518,2005,63,43,KATHRINER Arne,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
44,"",48.42,SUI,9510576,2008,65,44,BACCHI Gino,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
45,"",50.91,FRA,9190630,1973,57,45,ABADIE William,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
46,"",54.69,SUI,9510572,2008,66,46,THURNHEER Leon,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
47,"",55.12,SUI,9510546,2006,59,47,MEISSER Nicola,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
48,"","",POL,9430012,1987,33,"",GASIENICA-DANIEL Andrzej,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
49,"","",ITA,9290464,2005,31,"",ZIMMERHOFER Elias,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
50,"","",AUT,9050316,2005,21,"",PIETSCH Werner,"",European Cup Davos/Rinerhorn  (SUI),2024-03-12
