RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,6.96,55.13,ITA,9295240,2008,152,DORFMANN Emma,33,National Championships Funes - Vilnoess (ITA),2024-02-08
34,6.38,56.83,POL,9435094,2004,129,KACICZAK Olga,34,National Championships Funes - Vilnoess (ITA),2024-02-08
35,"",57.25,GER,9205107,2007,149,VOJTASEKOVA Simona,35,National Championships Funes - Vilnoess (ITA),2024-02-08
36,"",58.57,ITA,9295228,2005,145,LAMBER Viktoria,36,National Championships Funes - Vilnoess (ITA),2024-02-08
37,"",1:00.26,ITA,9295208,2005,148,ZIMMERHOFER Marlis,37,National Championships Funes - Vilnoess (ITA),2024-02-08
1,290.00,1:30.36,ITA,9295145,1997,120,DALMASSO Lucia,1,National Championships Funes - Vilnoess (ITA),2024-02-08
2,232.00,1:30.96,SUI,9515102,1993,131,JENNY Ladina,2,National Championships Funes - Vilnoess (ITA),2024-02-08
3,174.00,1:30.33,GER,9205050,1994,122,LOCH Cheyenne,3,National Championships Funes - Vilnoess (ITA),2024-02-08
4,145.00,1:30.78,CZE,9155072,2003,123,MADEROVA Zuzana,4,National Championships Funes - Vilnoess (ITA),2024-02-08
5,130.50,1:31.13,ITA,9295154,2001,124,CORATTI Jasmin,5,National Championships Funes - Vilnoess (ITA),2024-02-08
6,116.00,1:31.81,GER,9205104,2006,117,JANSING Salome,6,National Championships Funes - Vilnoess (ITA),2024-02-08
7,104.40,1:32.21,ITA,9295132,1999,126,CAFFONT Elisa,7,National Championships Funes - Vilnoess (ITA),2024-02-08
8,92.80,1:32.40,POL,9435104,2006,132,DAWIDEK Weronika,8,National Championships Funes - Vilnoess (ITA),2024-02-08
9,84.10,1:33.04,ITA,9295158,2003,119,FAVA Elisa,9,National Championships Funes - Vilnoess (ITA),2024-02-08
10,75.40,1:33.24,GER,9205097,2005,133,TANIGUCHI Yuna,10,National Championships Funes - Vilnoess (ITA),2024-02-08
11,69.60,1:33.49,CZE,9155071,2003,118,SONKOVA Klara,11,National Championships Funes - Vilnoess (ITA),2024-02-08
12,63.80,1:33.97,ITA,9295211,2005,140,RABANSER Sophie,12,National Championships Funes - Vilnoess (ITA),2024-02-08
13,58.00,1:34.10,ITA,9295182,2003,128,VALLE Sofia,13,National Championships Funes - Vilnoess (ITA),2024-02-08
14,52.20,1:34.48,AUS,9045081,1997,121,BONGIORNO Millie,14,National Championships Funes - Vilnoess (ITA),2024-02-08
15,46.40,1:35.34,GER,9205100,2005,137,BUCCIONI Aurelia,15,National Championships Funes - Vilnoess (ITA),2024-02-08
16,43.50,1:36.12,CZE,9155052,1996,139,HOUZVICKOVA Kristyna,16,National Championships Funes - Vilnoess (ITA),2024-02-08
17,40.60,1:37.41,ITA,9295234,2008,146,CARNEVALI Giorgia,17,National Championships Funes - Vilnoess (ITA),2024-02-08
18,37.70,1:37.48,GER,9205105,2006,125,GUNKEL Hannah,18,National Championships Funes - Vilnoess (ITA),2024-02-08
19,34.80,1:38.01,GER,9205056,1996,127,HOCHREITER Melanie,19,National Championships Funes - Vilnoess (ITA),2024-02-08
20,31.90,1:38.49,GER,9205106,2007,144,REICHELMEIR Ina,20,National Championships Funes - Vilnoess (ITA),2024-02-08
21,29.00,1:39.66,GER,9205103,2006,130,SCHEID Mathilda,21,National Championships Funes - Vilnoess (ITA),2024-02-08
22,26.10,1:39.68,ITA,9295224,2006,142,MAMMONE Anna Victoria,22,National Championships Funes - Vilnoess (ITA),2024-02-08
23,23.20,1:42.34,ITA,9295200,2004,138,FACHIN Fabiana,23,National Championships Funes - Vilnoess (ITA),2024-02-08
24,20.30,1:43.10,POL,9435100,2005,134,ZAPALA Sonia,24,National Championships Funes - Vilnoess (ITA),2024-02-08
25,17.40,1:43.44,ITA,9295238,2007,150,FEDERSPIELER Sofia,25,National Championships Funes - Vilnoess (ITA),2024-02-08
26,14.50,1:43.67,ITA,9295178,2003,143,BOSSA Rachele,26,National Championships Funes - Vilnoess (ITA),2024-02-08
27,13.05,1:44.31,CZE,9155110,2006,141,BIEGELOVA Sofie,27,National Championships Funes - Vilnoess (ITA),2024-02-08
28,11.60,1:47.02,ITA,9295232,2007,147,BOSIA Chiara,28,National Championships Funes - Vilnoess (ITA),2024-02-08
29,10.44,1:49.28,CZE,9155116,2006,135,MARESOVA Emma Maya,29,National Championships Funes - Vilnoess (ITA),2024-02-08
30,9.28,1:51.62,GER,9205112,2008,136,JANSING Zoe,30,National Championships Funes - Vilnoess (ITA),2024-02-08
31,8.12,1:54.81,ITA,9295236,2008,151,CALL Lucy,31,National Championships Funes - Vilnoess (ITA),2024-02-08
32,7.54,2:02.87,ITA,9295245,2008,153,IRSARA Bettina,32,National Championships Funes - Vilnoess (ITA),2024-02-08
