RowID,Nation Year,Nation,FIS code,Order,Year,Bib,Name,Event Name,Date
1,"","",9300891,1,JPN,4,JAPAN 1,FIS Junior World Championships Lachtal (AUT),2024-03-24
2,2005,"",9301037,"","",4-1,SUMINAGA Shogo,FIS Junior World Championships Lachtal (AUT),2024-03-24
3,2004,"",9305461,"","",4-2,OSHIMA Hinano,FIS Junior World Championships Lachtal (AUT),2024-03-24
4,"","",9101001,2,CAN,13,CANADA 1,FIS Junior World Championships Lachtal (AUT),2024-03-24
5,2006,"",9101366,"","",13-1,HELDMAN Matthew,FIS Junior World Championships Lachtal (AUT),2024-03-24
6,2005,"",9105518,"","",13-2,MOISAN Aurelie,FIS Junior World Championships Lachtal (AUT),2024-03-24
7,"","",9430165,2,POL,20,POLAND 3,FIS Junior World Championships Lachtal (AUT),2024-03-24
8,2006,"",9430208,"","",20-1,KULPINSKI Anatol,FIS Junior World Championships Lachtal (AUT),2024-03-24
9,2005,"",9435100,"","",20-2,ZAPALA Sonia,FIS Junior World Championships Lachtal (AUT),2024-03-24
10,"","",9290400,3,ITA,12,ITALY 2,FIS Junior World Championships Lachtal (AUT),2024-03-24
11,2007,"",9290515,"","",12-1,RABANSER Tommy,FIS Junior World Championships Lachtal (AUT),2024-03-24
12,2005,"",9295211,"","",12-2,RABANSER Sophie,FIS Junior World Championships Lachtal (AUT),2024-03-24
13,"","",9050285,3,AUT,21,AUSTRIA 3,FIS Junior World Championships Lachtal (AUT),2024-03-24
14,2006,"",9050318,"","",21-1,HAMMERSCHMIDT Lion,FIS Junior World Championships Lachtal (AUT),2024-03-24
15,2008,"",9055128,"","",21-2,DABRINGER Franziska,FIS Junior World Championships Lachtal (AUT),2024-03-24
16,"","",9531340,4,USA,5,UNITED STATES OF AMERICA 1,FIS Junior World Championships Lachtal (AUT),2024-03-24
17,2006,"",9531573,"","",5-1,OVERSTAKE Walker,FIS Junior World Championships Lachtal (AUT),2024-03-24
18,2006,"",9535668,"","",5-2,DOMINO Grace,FIS Junior World Championships Lachtal (AUT),2024-03-24
19,"","",9320187,4,KOR,28,KOREA 2,FIS Junior World Championships Lachtal (AUT),2024-03-24
20,2006,"",9320237,"","",28-1,PARK Jaemin,FIS Junior World Championships Lachtal (AUT),2024-03-24
21,2007,"",9325092,"","",28-2,CHO Sumin,FIS Junior World Championships Lachtal (AUT),2024-03-24
22,"","",9300848,5,JPN,8,JAPAN 2,FIS Junior World Championships Lachtal (AUT),2024-03-24
23,2006,"",9301081,"","",8-1,TAKEKAWA Shin,FIS Junior World Championships Lachtal (AUT),2024-03-24
24,2005,"",9305476,"","",8-2,MAEDA Suzumi,FIS Junior World Championships Lachtal (AUT),2024-03-24
25,"","",9320186,5,KOR,25,KOREA 1,FIS Junior World Championships Lachtal (AUT),2024-03-24
26,2004,"",9320217,"","",25-1,KIL Geon Ho,FIS Junior World Championships Lachtal (AUT),2024-03-24
27,2006,"",9325082,"","",25-2,JUNG Seo-Yeong,FIS Junior World Championships Lachtal (AUT),2024-03-24
28,"","",9690144,6,UKR,9,UKRAINE 1,FIS Junior World Championships Lachtal (AUT),2024-03-24
