RowID,FIS Points,Nation,FIS code,Year,Athlete,Rank,Event Name,Date
33,"",KOR,9320214,2004,KIM Hyoungbin,"",FIS High1resort (KOR),2024-02-02
34,"",KOR,9320257,2008,KIM Minjae,"",FIS High1resort (KOR),2024-02-02
35,"",KOR,9320064,1992,LEE Je Jung,"",FIS High1resort (KOR),2024-02-02
36,"",KOR,9320140,1978,JEON Byeong-Cheol,"",FIS High1resort (KOR),2024-02-02
1,220.00,KOR,9320091,1995,LEE Sangho,1,FIS High1resort (KOR),2024-02-02
2,176.00,KOR,9320122,1997,CHO Soung-hee,2,FIS High1resort (KOR),2024-02-02
3,132.00,JPN,9301081,2006,TAKEKAWA Shin,3,FIS High1resort (KOR),2024-02-02
4,110.00,KOR,9320129,1998,CHO Wan-Hee,4,FIS High1resort (KOR),2024-02-02
5,99.00,KOR,9320127,1998,HONG Seung-Yeong,5,FIS High1resort (KOR),2024-02-02
6,88.00,KOR,9320014,1989,KIM Sangkyum,6,FIS High1resort (KOR),2024-02-02
7,79.20,JPN,9300905,2002,KANEMATSU Naoki,7,FIS High1resort (KOR),2024-02-02
8,70.40,KOR,9320197,2002,MA Junho,8,FIS High1resort (KOR),2024-02-02
9,63.80,KOR,9320222,2005,PARK Jisung,9,FIS High1resort (KOR),2024-02-02
10,57.20,KOR,9320171,2000,KWON Yong-Hwi,10,FIS High1resort (KOR),2024-02-02
11,52.80,JPN,9300973,2001,YOGO Ryusho,11,FIS High1resort (KOR),2024-02-02
12,48.40,KOR,9320217,2004,KIL Geon Ho,12,FIS High1resort (KOR),2024-02-02
13,44.00,KOR,9320195,2002,LEE Junghoo,13,FIS High1resort (KOR),2024-02-02
14,39.60,KOR,9320243,2006,LEE Jeong-Gil,14,FIS High1resort (KOR),2024-02-02
15,35.20,KOR,9320168,2000,SHIN Gyung-Rok,15,FIS High1resort (KOR),2024-02-02
16,33.00,KOR,9320237,2006,PARK Jaemin,16,FIS High1resort (KOR),2024-02-02
17,30.80,JPN,9301037,2005,SUMINAGA Shogo,17,FIS High1resort (KOR),2024-02-02
18,28.60,KOR,9320160,1999,KIM Kyu-Won,18,FIS High1resort (KOR),2024-02-02
19,26.40,KOR,9320239,2006,PAK Han Beom,19,FIS High1resort (KOR),2024-02-02
20,24.20,KOR,9320246,2006,KIM Sangyun,20,FIS High1resort (KOR),2024-02-02
21,22.00,KOR,9320256,2006,LEE Aaron,21,FIS High1resort (KOR),2024-02-02
22,19.80,KOR,9320240,2006,KIM Ji Eon,22,FIS High1resort (KOR),2024-02-02
23,17.60,JPN,9301164,2008,WAKAMATSU Ryunosuke,23,FIS High1resort (KOR),2024-02-02
24,15.40,KOR,9320225,2005,LEE Jae Geon,24,FIS High1resort (KOR),2024-02-02
25,13.20,KOR,9320253,1986,JO Jun,25,FIS High1resort (KOR),2024-02-02
26,11.00,KOR,9320267,2008,LEE Hyunseok,26,FIS High1resort (KOR),2024-02-02
27,9.90,KOR,9320274,2008,KIM Chan Oh,27,FIS High1resort (KOR),2024-02-02
28,"",KOR,9320272,2008,GILL Hyeok Jae,28,FIS High1resort (KOR),2024-02-02
29,"",KOR,9320207,2002,YONG Gi-Beom,29,FIS High1resort (KOR),2024-02-02
30,"",KOR,9320263,2008,CHOI Jiho,30,FIS High1resort (KOR),2024-02-02
31,"",KOR,9320223,2005,YUN Chang Ha,"",FIS High1resort (KOR),2024-02-02
32,"",KOR,9320255,2007,KIM Minseong,"",FIS High1resort (KOR),2024-02-02
