RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,IRI,1264984,1:29.08,1984,15,SEYD Seyed Hossein,1,FIS Dizin (IRI),2024-03-11
2,40.00,IRI,1663647,1:29.65,1983,16,KALHOR J Hossein,2,FIS Dizin (IRI),2024-03-11
3,30.00,IRI,9260003,1:33.85,1977,19,MOGHDID Rahmatollah,3,FIS Dizin (IRI),2024-03-11
4,25.00,IRI,9260023,1:35.35,1981,11,SAVEHDARBANDSARI Mohammad,4,FIS Dizin (IRI),2024-03-11
5,22.50,IRI,9260152,1:37.36,2002,21,SOLGHANI Amirhassan,5,FIS Dizin (IRI),2024-03-11
6,20.00,IRI,9260029,1:37.84,1989,17,JEYRODI Mahdi,6,FIS Dizin (IRI),2024-03-11
7,18.00,IRI,9260138,1:38.52,2002,22,JANI Ilia,7,FIS Dizin (IRI),2024-03-11
8,16.00,IRI,9260159,1:46.48,2004,13,SOLGHANI Amirmahdi,8,FIS Dizin (IRI),2024-03-11
9,14.50,IRI,9260065,1:49.29,1978,18,AZHDARI MOGHADAM nima,9,FIS Dizin (IRI),2024-03-11
10,13.00,IRI,9260059,1:52.23,1990,14,KIASHEMSHAKI Pooria,10,FIS Dizin (IRI),2024-03-11
11,12.00,IRI,1264992,1:55.23,1970,25,KALHOR Feyzolah,11,FIS Dizin (IRI),2024-03-11
12,11.00,IRI,9260072,2:07.03,1993,24,DARBANDSARI Ali,12,FIS Dizin (IRI),2024-03-11
13,10.00,IRI,9260165,2:29.19,1986,23,ASADKHANI Amir,13,FIS Dizin (IRI),2024-03-11
14,"",IRI,9260168,2:30.47,1993,27,SOHRABI Hossein,14,FIS Dizin (IRI),2024-03-11
15,"",IRI,9260166,"",1987,26,GOLESTANI Mostafa,"",FIS Dizin (IRI),2024-03-11
16,"",IRI,9260078,"",1988,20,KAVIANI Mahdi,"",FIS Dizin (IRI),2024-03-11
17,"",IRI,9260064,"",1987,12,SAVEHDARBANDSARI Mohammad,"",FIS Dizin (IRI),2024-03-11
